iccs,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS020221,NR,CZ	4 	12 	11 	8 	8 	10 	7 	8 
ICCS020221,NR,DE	4789 	5011 	4964 	5183 	4922 	4897 	5126 	1857 
ICCS020221,NR,EE	0 	0 	1 	0 	3 	0 	0 	2 
ICCS020221,NR,EL	89 	58 	95 	139 	158 	173 	16 	30 
ICCS020221,NR,ES	93 	99 	121 	118 	111 	127 	171 	237 
ICCS020221,NR,FI	1 	1 	1 	1 	3 	1 	3 	0 
ICCS020221,NR,FR	3985 	2956 	2266 	2117 	2234 	2092 	2085 	2074 
ICCS020221,NR,HR	0 	1 	1 	6 	6 	13 	12 	16 
ICCS020221,NR,HU	11 	3 	7 	9 	12 	18 	14 	11 
ICCS020221,NR,IE	153 	124 	124 	101 	109 	134 	146 	77 
ICCS020221,NR,IT	287 	297 	325 	341 	356 	351 	349 	325 
ICCS020221,NR,LI	0 	0 	0 	0 	0 	0 	0 	0 
ICCS020221,NR,LT	49 	44 	46 	65 	48 	69 	59 	61 
ICCS020221,NR,LU	53 	52 	48 	57 	47 	27 	40 	33 
ICCS020221,NR,LV	17 	17 	18 	1 	7 	8 	9 	3 
ICCS020221,NR,ME	0 	0 	1 	0 	3 	2 	3 	3 
ICCS020221,NR,MK	: 	8 	18 	19 	14 	17 	16 	14 
ICCS020221,NR,MT	0 	0 	0 	0 	0 	0 	0 	0 
ICCS020221,NR,NL	415 	405 	510 	585 	560 	645 	625 	760 
ICCS020221,NR,PL	246 	287 	272 	316 	11 	26 	59 	37 
ICCS020221,NR,PT	369 	376 	432 	419 	507 	501 	539 	492 
ICCS020221,NR,RO	295 	290 	310 	391 	307 	321 	: 	265 
ICCS020221,NR,RS	14 	11 	9 	11 	9 	20 	24 	16 
ICCS020221,NR,SI	3 	5 	4 	4 	2 	4 	2 	7 
ICCS020221,NR,SK	1 	10 	4 	7 	4 	4 	6 	3 
ICCS020221,NR,TR	: 	: 	: 	13431 	13584 	13586 	12700 	: 
